Statistical profiling result from isolate-0x102001000-v8.log, (4900 ticks, 590 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: ~flatten /Users/leo/Workspace/git-metrics/node_modules/lodash/flatten.js:17:17
      2    0.0%    0.0%  LazyCompile: tryReadSync fs.js:483:21
      2    0.0%    0.0%  LazyCompile: *$this.for /Users/leo/Workspace/git-metrics/src/core/index.js:21:22
      2    0.0%    0.0%  Handler: time
      2    0.0%    0.0%  Handler: git_author_id
      2    0.0%    0.0%  Handler: binary
      1    0.0%    0.0%  Stub: VectorStoreICTrampolineStub
      1    0.0%    0.0%  Stub: VectorKeyedStoreICStub
      1    0.0%    0.0%  Stub: ToNumberStub
      1    0.0%    0.0%  Stub: ToBooleanStub
      1    0.0%    0.0%  Stub: ToBooleanICStub(Bool)
      1    0.0%    0.0%  Stub: StoreTransitionStub {1}
      1    0.0%    0.0%  Stub: RecordWriteStub {9}
      1    0.0%    0.0%  Stub: RecordWriteStub {8}
      1    0.0%    0.0%  Stub: RecordWriteStub {7}
      1    0.0%    0.0%  Stub: RecordWriteStub {5}
      1    0.0%    0.0%  Stub: RecordWriteStub {3}
      1    0.0%    0.0%  Stub: RecordWriteStub {1}
      1    0.0%    0.0%  Stub: RecordWriteStub {10}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: LoadFieldStub {4}
      1    0.0%    0.0%  Stub: LoadConstantStub
      1    0.0%    0.0%  Stub: FastNewContextStub
      1    0.0%    0.0%  Stub: FastCloneShallowArrayStub
      1    0.0%    0.0%  Stub: FastArrayPushStub
      1    0.0%    0.0%  Stub: CompareICStub {1}
      1    0.0%    0.0%  Stub: CompareICStub
      1    0.0%    0.0%  Stub: CallICTrampolineStub
      1    0.0%    0.0%  Stub: CallICStub(args(4), ANY, 
      1    0.0%    0.0%  Stub: CallICStub(args(3), ANY, 
      1    0.0%    0.0%  Stub: CallICStub(args(2), NOT_NULL_OR_UNDEFINED, 
      1    0.0%    0.0%  Stub: CallICStub(args(1), ANY, 
      1    0.0%    0.0%  Stub: CallConstructStub
      1    0.0%    0.0%  Stub: CallApiCallbackStub {1}
      1    0.0%    0.0%  Stub: CallApiCallbackStub
      1    0.0%    0.0%  Stub: CEntryStub {1}
      1    0.0%    0.0%  Stub: BinaryOpICStub(MUL:Smi*Smi->Smi)
      1    0.0%    0.0%  LazyCompile: ~parseInt native v8natives.js:36:24
      1    0.0%    0.0%  LazyCompile: ~normalizeStringPosix path.js:78:30
      1    0.0%    0.0%  LazyCompile: ~makeKnex /Users/leo/Workspace/git-metrics/node_modules/knex/lib/util/make-knex.js:45:18
      1    0.0%    0.0%  LazyCompile: ~charCodeAt native string.js:50:28
      1    0.0%    0.0%  LazyCompile: ~baseSet /Users/leo/Workspace/git-metrics/node_modules/lodash/_baseSet.js:17:17
      1    0.0%    0.0%  LazyCompile: ~arrayMap /Users/leo/Workspace/git-metrics/node_modules/lodash/_arrayMap.js:10:18
      1    0.0%    0.0%  LazyCompile: ~addUnitAlias /Users/leo/Workspace/git-metrics/node_modules/moment/moment.js:495:27
      1    0.0%    0.0%  LazyCompile: ~Module.load module.js:478:33
      1    0.0%    0.0%  LazyCompile: ~Module._resolveLookupPaths module.js:314:38
      1    0.0%    0.0%  LazyCompile: ~Module._findPath module.js:151:28
      1    0.0%    0.0%  LazyCompile: ~Module._compile module.js:510:37
      1    0.0%    0.0%  LazyCompile: ~MapFindEntry native collection.js:45:22
      1    0.0%    0.0%  LazyCompile: ~GetStackFrames native messages.js:536:24
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/_basePick.js:14:44
      1    0.0%    0.0%  LazyCompile: ~$export /Users/leo/Workspace/git-metrics/node_modules/core-js/library/modules/_export.js:8:24
      1    0.0%    0.0%  LazyCompile: tryStatSync fs.js:459:21
      1    0.0%    0.0%  LazyCompile: require internal/module.js:17:19
      1    0.0%    0.0%  LazyCompile: *set native collection.js:252:16
      1    0.0%    0.0%  LazyCompile: *fs.fstatSync fs.js:987:24
      1    0.0%    0.0%  LazyCompile: *assignValue /Users/leo/Workspace/git-metrics/node_modules/lodash/_assignValue.js:20:21
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 2a6bbc2)
      1    0.0%    0.0%  Handler: path {1}
      1    0.0%    0.0%  Handler: path
      1    0.0%    0.0%  Handler: constructor {NaN}
      1    0.0%    0.0%  Handler: atime
      1    0.0%    0.0%  Handler: additions
      1    0.0%    0.0%  Handler: JSON
      1    0.0%    0.0%  Function: ~runInContext /Users/leo/Workspace/git-metrics/node_modules/lodash/lodash.js:1420:44
      1    0.0%    0.0%  Function: ~<anonymous> /Users/leo/Workspace/git-metrics/node_modules/knex/lib/index.js:1:11
      1    0.0%    0.0%  Builtin: ObjectKeys

 [C++]:
   ticks  total  nonlib   name
    217    4.4%    4.5%  node::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
    162    3.3%    3.3%  node::Read(v8::FunctionCallbackInfo<v8::Value> const&)
    136    2.8%    2.8%  _szone_malloc_should_clear
    108    2.2%    2.2%  v8::internal::Builtin_ArrayIsArray(int, v8::internal::Object**, v8::internal::Isolate*)
     91    1.9%    1.9%  v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
     83    1.7%    1.7%  int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
     69    1.4%    1.4%  _update_cache_for_file_streams
     61    1.2%    1.3%  node::InternalModuleReadFile(v8::FunctionCallbackInfo<v8::Value> const&)
     54    1.1%    1.1%  _free
     49    1.0%    1.0%  v8::internal::TransitionArray::Search(v8::internal::PropertyKind, v8::internal::Name*, v8::internal::PropertyAttributes, int*)
     46    0.9%    0.9%  v8::internal::StringTable::LookupKey(v8::internal::Isolate*, v8::internal::HashTableKey*)
     43    0.9%    0.9%  ___channel_get_opt
     42    0.9%    0.9%  _mprotect
     39    0.8%    0.8%  v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
     39    0.8%    0.8%  bool v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::PromoteObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)1, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
     37    0.8%    0.8%  ___mach_stack_logging_enumerate_records
     36    0.7%    0.7%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
     35    0.7%    0.7%  v8::internal::Factory::NewStringFromUtf8(v8::internal::Vector<char const>, v8::internal::PretenureFlag)
     35    0.7%    0.7%  v8::internal::ConsString* v8::internal::String::VisitFlat<v8::internal::IteratingStringHasher>(v8::internal::IteratingStringHasher*, v8::internal::String*, int)
     33    0.7%    0.7%  v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
     33    0.7%    0.7%  v8::internal::Object::IsArray(v8::internal::Handle<v8::internal::Object>)
     30    0.6%    0.6%  ___terminate_with_payload
     28    0.6%    0.6%  v8::internal::StubCache::Set(v8::internal::Name*, v8::internal::Map*, v8::internal::Code*)
     26    0.5%    0.5%  void v8::internal::LookupIterator::NextInternal<false>(v8::internal::Map*, v8::internal::JSReceiver*)
     25    0.5%    0.5%  v8::internal::Runtime_HasProperty(int, v8::internal::Object**, v8::internal::Isolate*)
     25    0.5%    0.5%  v8::internal::Map::TransitionToDataProperty(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::StoreFromKeyed)
     25    0.5%    0.5%  v8::Isolate::GetCurrentContext()
     24    0.5%    0.5%  v8::internal::String::SlowEquals(v8::internal::String*)
     24    0.5%    0.5%  v8::internal::Runtime_KeyedLoadIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
     24    0.5%    0.5%  v8::internal::IC::IC(v8::internal::IC::FrameDepth, v8::internal::Isolate*, v8::internal::FeedbackNexus*)
     24    0.5%    0.5%  int v8::internal::FlexibleBodyVisitor<v8::internal::StaticScavengeVisitor, v8::internal::FlexibleBodyDescriptor<8>, int>::VisitSpecialized<56>(v8::internal::Map*, v8::internal::HeapObject*)
     23    0.5%    0.5%  v8::internal::ScavengeWeakObjectRetainer::RetainAs(v8::internal::Object*)
     22    0.4%    0.5%  void v8::internal::LookupIterator::Start<false>()
     22    0.4%    0.5%  void v8::internal::Heap::UpdateAllocationSite<(v8::internal::Heap::UpdateAllocationSiteMode)0>(v8::internal::HeapObject*, v8::internal::TemplateHashMapImpl<v8::internal::FreeStoreAllocationPolicy>*)
     22    0.4%    0.5%  v8::internal::LoadIC::Load(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>)
     21    0.4%    0.4%  v8::internal::String::ComputeAndSetHash()
     21    0.4%    0.4%  v8::internal::Runtime::SetObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode)
     21    0.4%    0.4%  node::Binding(v8::FunctionCallbackInfo<v8::Value> const&)
     20    0.4%    0.4%  v8::Isolate::GetCurrent()
     19    0.4%    0.4%  v8::internal::LookupIterator::LookupIterator(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::LookupIterator::Configuration)
     19    0.4%    0.4%  v8::internal::IncrementalMarking::Step(long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceMarkingAction, v8::internal::IncrementalMarking::ForceCompletionAction)
     18    0.4%    0.4%  v8::internal::Factory::NewRawOneByteString(int, v8::internal::PretenureFlag)
     17    0.3%    0.4%  v8::internal::TransitionArray::SearchTransition(v8::internal::Map*, v8::internal::PropertyKind, v8::internal::Name*, v8::internal::PropertyAttributes)
     17    0.3%    0.4%  v8::String::NewFromUtf8(v8::Isolate*, char const*, v8::NewStringType, int)
     16    0.3%    0.3%  v8::internal::Object::SetProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode, v8::internal::Object::StoreFromKeyed)
     16    0.3%    0.3%  v8::Object::Set(v8::Local<v8::Context>, v8::Local<v8::Value>, v8::Local<v8::Value>)
     15    0.3%    0.3%  bool v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::PromoteObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)0, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
     14    0.3%    0.3%  v8::internal::(anonymous namespace)::UpdateDescriptorForValue(v8::internal::Handle<v8::internal::Map>, int, v8::internal::Handle<v8::internal::Object>)
     14    0.3%    0.3%  int v8::internal::SlotSet::Iterate<void v8::internal::RememberedSet<(v8::internal::PointerDirection)1>::IterateWithWrapper<void (*)(v8::internal::HeapObject**, v8::internal::HeapObject*)>(v8::internal::Heap*, void (*)(v8::internal::HeapObject**, v8::internal::HeapObject*))::'lambda'(unsigned char*)>(void (*)(v8::internal::HeapObject**, v8::internal::HeapObject*))
     13    0.3%    0.3%  v8::internal::InternalizedStringKey::IsMatch(v8::internal::Object*)
     13    0.3%    0.3%  v8::internal::Heap::IteratePromotedObjectPointers(v8::internal::HeapObject*, unsigned char*, unsigned char*, bool, void (*)(v8::internal::HeapObject**, v8::internal::HeapObject*))
     13    0.3%    0.3%  v8::Context::Exit()
     12    0.2%    0.2%  v8::internal::StringTable::LookupString(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
     12    0.2%    0.2%  v8::internal::Object::AddDataProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow, v8::internal::Object::StoreFromKeyed)
     12    0.2%    0.2%  v8::internal::JSObject::WriteToField(int, v8::internal::PropertyDetails, v8::internal::Object*)
     12    0.2%    0.2%  v8::internal::IncrementalMarking::RecordWriteSlow(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object*)
     12    0.2%    0.2%  _free_small
     11    0.2%    0.2%  v8::internal::ScavengeVisitor::VisitPointers(v8::internal::Object**, v8::internal::Object**)
     11    0.2%    0.2%  v8::internal::LookupIterator::WriteDataValue(v8::internal::Handle<v8::internal::Object>)
     11    0.2%    0.2%  v8::internal::LookupIterator::PrepareTransitionToDataProperty(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::StoreFromKeyed)
     11    0.2%    0.2%  v8::internal::LoadIC::UpdateCaches(v8::internal::LookupIterator*)
     11    0.2%    0.2%  v8::internal::KeyedLoadIC::Load(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
     11    0.2%    0.2%  v8::Object::Set(v8::Local<v8::Context>, unsigned int, v8::Local<v8::Value>)
     11    0.2%    0.2%  v8::Context::Enter()
     11    0.2%    0.2%  node::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     11    0.2%    0.2%  _unwind_stack_from_table_index
     10    0.2%    0.2%  v8::internal::IC::PatchCache(v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Code>)
     10    0.2%    0.2%  v8::HandleScope::Initialize(v8::Isolate*)
     10    0.2%    0.2%  _munmap
      9    0.2%    0.2%  v8::internal::Logger::SuspectReadEvent(v8::internal::Name*, v8::internal::Object*)
      9    0.2%    0.2%  v8::internal::JSObject::RawFastPropertyAtPut(v8::internal::FieldIndex, v8::internal::Object*)
      9    0.2%    0.2%  v8::internal::JSObject::AddDataElement(v8::internal::Handle<v8::internal::JSObject>, unsigned int, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow)
      9    0.2%    0.2%  v8::internal::IC::UpdateState(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
      9    0.2%    0.2%  v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
      9    0.2%    0.2%  _mach_init_doit
      9    0.2%    0.2%  __enlarge
      8    0.2%    0.2%  void v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectEvacuationStrategy<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)1>::VisitSpecialized<56>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*)
      8    0.2%    0.2%  void v8::internal::BodyDescriptorBase::IterateBodyImpl<v8::internal::StaticScavengeVisitor>(v8::internal::Heap*, v8::internal::HeapObject*, int, int)
      8    0.2%    0.2%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*, v8::internal::LookupIterator::Configuration)
      8    0.2%    0.2%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::LookupIterator::Configuration)
      8    0.2%    0.2%  v8::internal::JSReceiver::HasProperty(v8::internal::LookupIterator*)
      8    0.2%    0.2%  v8::internal::InternalizedStringKey::InternalizedStringKey(v8::internal::Handle<v8::internal::String>)
      8    0.2%    0.2%  v8::internal::Heap::IteratePromotedObject(v8::internal::HeapObject*, int, bool, void (*)(v8::internal::HeapObject**, v8::internal::HeapObject*))
      8    0.2%    0.2%  v8::internal::FixStaleLeftTrimmedHandlesVisitor::VisitPointers(v8::internal::Object**, v8::internal::Object**)
      8    0.2%    0.2%  v8::internal::Factory::NewNumber(double, v8::internal::PretenureFlag)
      8    0.2%    0.2%  bool v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::SemiSpaceCopyObject<(v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
      8    0.2%    0.2%  __malloc_initialize
      7    0.1%    0.1%  v8::internal::Heap::AllocateRawOneByteString(int, v8::internal::PretenureFlag)
      7    0.1%    0.1%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::GetEntryForIndex(v8::internal::JSObject*, v8::internal::FixedArrayBase*, unsigned int)
      7    0.1%    0.1%  v8::Object::New(v8::Isolate*)
      7    0.1%    0.1%  node::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.1%    0.1%  bool v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)0, (v8::internal::LoggingAndProfiling)0>::PromoteObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)0, (v8::internal::LoggingAndProfiling)0>::ObjectContents)1, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
      6    0.1%    0.1%  void v8::internal::LookupIterator::NextInternal<true>(v8::internal::Map*, v8::internal::JSReceiver*)
      6    0.1%    0.1%  v8::internal::Scavenger::ScavengeObjectSlow(v8::internal::HeapObject**, v8::internal::HeapObject*)
      6    0.1%    0.1%  v8::internal::Scanner::ScanIdentifierOrKeyword()
      6    0.1%    0.1%  v8::internal::Scanner::Scan()
      6    0.1%    0.1%  v8::internal::LookupIterator::ApplyTransitionToDataProperty(v8::internal::Handle<v8::internal::JSObject>)
      6    0.1%    0.1%  v8::internal::LookupForRead(v8::internal::LookupIterator*)
      6    0.1%    0.1%  v8::internal::Logger::ApiEntryCall(char const*)
      6    0.1%    0.1%  v8::internal::Heap::InitializeJSObjectBody(v8::internal::JSObject*, v8::internal::Map*, int)
      6    0.1%    0.1%  v8::internal::Heap::CopyFixedArrayAndGrow(v8::internal::FixedArray*, int, v8::internal::PretenureFlag)
      6    0.1%    0.1%  v8::internal::Builtin_Impl_ObjectKeys(v8::internal::(anonymous namespace)::BuiltinArguments<(v8::internal::BuiltinExtraArguments)0>, v8::internal::Isolate*)
      6    0.1%    0.1%  v8::HandleScope::~HandleScope()
      6    0.1%    0.1%  node::TTYWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.1%    0.1%  node::ContextifyScript::RunInThisContext(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.1%    0.1%  _tiny_malloc_from_free_list
      6    0.1%    0.1%  _poll$NOCANCEL
      5    0.1%    0.1%  void v8::internal::FlexibleBodyVisitor<v8::internal::IncrementalMarkingMarkingVisitor, v8::internal::FlexibleBodyDescriptor<8>, void>::VisitSpecialized<56>(v8::internal::Map*, v8::internal::HeapObject*)
      5    0.1%    0.1%  void v8::internal::BodyDescriptorBase::IterateBodyImpl<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::Heap*, v8::internal::HeapObject*, int, int)
      5    0.1%    0.1%  void v8::internal::BodyDescriptorApply<v8::internal::CallIterateBody, void, v8::internal::HeapObject*, int, v8::internal::ObjectVisitor*>(v8::internal::InstanceType, v8::internal::HeapObject*, int, v8::internal::ObjectVisitor*)
      5    0.1%    0.1%  v8::internal::TransitionArray::Insert(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Map>, v8::internal::SimpleTransitionFlag)
      5    0.1%    0.1%  v8::internal::TimerEventScope<v8::internal::TimerEventIcMiss>::LogTimerEvent(v8::internal::Logger::StartEnd)
      5    0.1%    0.1%  v8::internal::Object::GetProperty(v8::internal::LookupIterator*)
      5    0.1%    0.1%  v8::internal::JSObject::GetElementsAccessor()
      5    0.1%    0.1%  v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::FixedArray*, v8::internal::Map*)
      5    0.1%    0.1%  v8::internal::Factory::CopyFixedArrayAndGrow(v8::internal::Handle<v8::internal::FixedArray>, int, v8::internal::PretenureFlag)
      5    0.1%    0.1%  v8::internal::(anonymous namespace)::FastElementsAccessor<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::AddImpl(v8::internal::Handle<v8::internal::JSObject>, unsigned int, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, unsigned int)
      5    0.1%    0.1%  __cxxabiv1::do_free(void*)
      5    0.1%    0.1%  ___vfprintf
      4    0.1%    0.1%  void v8::internal::RelocInfo::Visit<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::Heap*)
      4    0.1%    0.1%  v8::internal::TemplateHashMapImpl<v8::internal::FreeStoreAllocationPolicy>::LookupOrInsert(void*, unsigned int, v8::internal::FreeStoreAllocationPolicy)
      4    0.1%    0.1%  v8::internal::String::SlowAsArrayIndex(unsigned int*)
      4    0.1%    0.1%  v8::internal::Space::AllocationStep(unsigned char*, int)
      4    0.1%    0.1%  v8::internal::KeyedLoadICNexus::StateFromFeedback() const
      4    0.1%    0.1%  v8::internal::JSObjectWalkVisitor<v8::internal::AllocationSiteUsageContext>::StructureWalk(v8::internal::Handle<v8::internal::JSObject>)
      4    0.1%    0.1%  v8::internal::JSFunction::EnsureHasInitialMap(v8::internal::Handle<v8::internal::JSFunction>)
      4    0.1%    0.1%  v8::internal::Heap::CopyFixedArrayUpTo(v8::internal::FixedArray*, int, v8::internal::PretenureFlag)
      4    0.1%    0.1%  v8::internal::Factory::CopyFixedArrayUpTo(v8::internal::Handle<v8::internal::FixedArray>, int, v8::internal::PretenureFlag)
      4    0.1%    0.1%  v8::internal::ConsString* v8::internal::String::VisitFlat<v8::internal::StringCharacterStream>(v8::internal::StringCharacterStream*, v8::internal::String*, int)
      4    0.1%    0.1%  v8::internal::AstValueFactory::GetOneByteStringInternal(v8::internal::Vector<unsigned char const>)
      4    0.1%    0.1%  v8::internal::(anonymous namespace)::HandleApiCallHelper(v8::internal::Isolate*, v8::internal::(anonymous namespace)::BuiltinArguments<(v8::internal::BuiltinExtraArguments)3>)
      4    0.1%    0.1%  bool v8::internal::StringToArrayIndex<v8::internal::StringCharacterStream>(v8::internal::StringCharacterStream*, unsigned int*)
      4    0.1%    0.1%  __simple_dprintf
      3    0.1%    0.1%  void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
